抓取时间,抓取时刻,订单号,安,非,赔,保,农,订单标题,金额(元）,年利率,期限（月）,还款方式,每月还款金额,进度,借款状态,剩余时间,结束时间,总投标数,浏览量,借款id,借入信用等级,借入信用分数,借出信用分数,成功次数,流标次数,身份认证,视频认证,学历认证,手机认证,借款目的,性别,年龄,婚姻状况,文化程度,住宅状况,是否购车,户口所在地,毕业学校,学历,学习形式,网站认证,淘宝网认证,卖家信用等级（皇冠数*10+钻石数*1）,关于我,我想要使用这笔款项做什么,我的还款能力说明
2014/05/12,16:28:25,100086,0,0,0,0,0,一时拿不出那么多钱来还朋友,5000,7,12,等额本息，每月还款,433,0.00,投标已结束,,2007/9/20,0,43,cyberpunks,HR,21,10,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:28:36,100088,0,0,0,0,0,我需要资金开间会计服务代理公司,30000,10,24,等额本息，每月还款,1384,0.00,投标已结束,,2007/9/14,0,25,kphwj,E,28,10,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:28:40,100089,0,0,0,0,0,找到更好的工作前的生活费,5000,8,4,等额本息，每月还款,1271,0.00,投标已结束,,2007/9/20,0,33,puer,HR,8,0,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:28:44,100090,0,0,0,0,0,我试一下玩的，借到了买本本。,20000,3,12,等额本息，每月还款,1694,0.00,投标已结束,,2007/9/11,0,18,bjcong,HR,19,40,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:28:50,100091,0,0,0,0,0,弟弟上学需要一笔钱，好心人救助,6000,3,6,等额本息，每月还款,1009,0.00,投标已结束,,2007/9/15,0,23,bjcong,HR,19,40,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:28:57,100092,0,0,0,0,0,这次借款一个月，就是给自己增加信誉度,5000,20,1,等额本息，每月还款,5083,6.00,投标已结束,,2007/9/11,3,46,jmmry,E,28,10,0,7,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:29:10,100094,0,0,0,0,0,短期现金周转，看是否真能通过网络借到钱,5000,20,6,等额本息，每月还款,883,0.00,投标已结束,,2007/9/21,0,52,liuyaoxin,E,31,10,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:29:19,100095,0,0,0,0,0,专职妈妈筹款创业，真诚相待,30000,20,6,等额本息，每月还款,5296,4.83,投标已结束,,2007/9/28,5,138,jmmry,E,28,10,0,7,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:29:25,100096,0,0,0,0,0,筹集上技术学校机械加工专业的学费,8000,12,12,等额本息，每月还款,711,0.00,投标已结束,,2007/9/25,0,14,weiyi-007,HR,19,22,3,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:29:30,100097,0,0,0,0,0,工作稳定购车上下班代步,40000,15,18,等额本息，每月还款,2495,0.00,投标已结束,,2007/9/28,0,31,liujianfu,E,30,10,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:29:35,100098,0,0,0,0,0,帮妈看病,6000,8,18,等额本息，每月还款,355,0.00,投标已结束,,2007/9/29,0,21,xiesong,HR,13,0,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:29:39,100099,0,0,0,0,0,公司经营需补充流动资金,50000,12,5,等额本息，每月还款,10302,0.00,投标已结束,,2007/9/20,0,20,haibian111,HR,16,0,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:29:43,100100,0,0,0,0,0,借款购车（现金用于全款购房，可抵押房产证）,100000,10,36,等额本息，每月还款,3227,5.14,投标已结束,,2007/9/23,4,65,anyfree,HR,24,1508,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:29:46,100101,0,0,0,0,0,工作稳定购车上下班代步,40000,15,18,等额本息，每月还款,2495,0.00,投标已结束,,2007/9/30,0,40,liujianfu,E,30,10,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:29:53,100102,0,0,0,0,0,筹集上技术学校机械加工专业的学费,4500,12,12,等额本息，每月还款,400,100.00,借款成功,,2007/10/9,10,568,weiyi-007,HR,19,22,3,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:29:58,100103,0,0,0,0,0,我简直到了走投无路的地步,16000,10,24,等额本息，每月还款,738,0.00,投标已结束,,2007/9/21,0,21,kphwj,E,28,10,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:30:01,100104,0,0,0,0,0,工作稳定，短期借款用于房屋装修，现差5000元,5000,16,6,等额本息，每月还款,873,2.00,投标已结束,,2007/9/29,1,38,feif120,E,28,10,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:30:04,100105,0,0,0,0,0,家里急用，试试看能借不,10000,10,6,等额本息，每月还款,1716,0.00,投标已结束,,2007/9/28,0,21,yanghanshi,HR,11,0,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:30:08,100106,0,0,0,0,0,我要买房贷款，有还款能力,100000,10,36,等额本息，每月还款,3227,0.00,投标已结束,,2007/9/28,0,27,xuling,E,44,76,0,2,0,0,0,1,,,,,,,,,,,,0,,,,,
2014/05/12,16:30:12,100107,0,0,0,0,0,临时资金周转进货，需要一笔钱,5000,4,8,等额本息，每月还款,634,0.00,投标已结束,,2007/9/25,0,12,kaotajie,HR,25,10,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:30:16,100108,0,0,0,0,0,买房子借款，本人有能力还款,100000,10,36,等额本息，每月还款,3227,0.00,投标已结束,,2007/9/29,0,14,xuling,E,44,76,0,2,0,0,0,1,,,,,,,,,,,,0,,,,,
2014/05/12,16:30:20,100109,0,0,0,0,0,网络借款的目的是因为真的有需求啊,10000,5,3,等额本息，每月还款,3361,27.00,投标已结束,,2007/10/1,3,88,zirquez,E,48,20,0,3,0,0,0,1,,,,,,,,,,,,0,,,,,
2014/05/12,16:30:27,100111,0,0,0,0,0,买房子首付借款，完全有能力还款 ,30000,10,12,等额本息，每月还款,2637,0.00,投标已结束,,2007/10/10,0,21,yaoguai000,HR,15,0,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:30:31,100112,0,0,0,0,0,买车临时用，下个月项目提成到位还款,80000,6,6,等额本息，每月还款,13568,0.00,投标已结束,,2007/10/2,0,22,billwang,HR,14,0,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:30:43,100116,0,0,0,0,0,我的孕婴用品商店快要开业了，征集店名请支持,80000,12,18,等额本息，每月还款,4879,0.00,投标已结束,,2007/10/14,0,27,jmmry,E,28,10,0,7,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:30:47,100117,0,0,0,0,0,十一买房  朋友帮忙,50000,8,4,等额本息，每月还款,12709,0.20,投标已结束,,2007/10/3,1,39,liangyunlong,HR,13,0,0,4,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:30:53,100118,0,0,0,0,0,工作稳定，短期借款用于房屋装修，现差5000元,5000,12,6,等额本息，每月还款,863,0.00,投标已结束,,2007/10/10,0,12,feif120,E,28,10,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:30:58,100119,0,0,0,0,0,急！急！急需求资金周转,80000,12,12,等额本息，每月还款,7108,0.00,投标已结束,,2007/10/6,0,16,sweet3333,HR,17,0,0,6,0,0,0,0,,,,,,,,,,,,0,,,,,
